,price (CLP),rooms,size (m2),address
0,256608,2.0,66.0,"Santo Domingo 3251, Santiago, Chile, Barrio Yungay, Santiago"
1,320000,1.0,29.0,"Chacabuco 1120, Parque Los Reyes, Santiago"
2,305000,1.0,26.0,"Carmen 110, Santa Isabel, Santiago"
3,280000,1.0,29.0,"Amunátegui 620, Centro Histórico De Santiago, Santiago"
4,380000,2.0,32.0,"Manuel Antonio Matta 524, Bogotá - Sierra Bella, Santiago"
5,280000,1.0,29.0,"General Mackenna 1490, Centro Histórico De Santiago, Santiago"
6,390000,2.0,32.0,"Manuel Antonio Matta 524, Bogotá - Sierra Bella, Santiago"
7,385000,2.0,32.0,"Manuel Antonio Matta 524, Bogotá - Sierra Bella, Santiago"
8,247500,1.0,19.0,"Eyzaguirre 766, San Diego, Santiago"
9,290000,1.0,27.0,"General Gana 1063, Franklin - Biobío, Santiago"
10,340000,2.0,32.0,"Eyzaguirre 766, San Diego, Santiago"
11,260000,1.0,23.0,"Av. Portugal 981, Barrio Diez De Julio, Santiago"
12,650000,3.0,68.0,"Pje. Echaurren 40, Barrio República, Santiago"
13,300000,1.0,24.0,"Serrano 611, San Diego, Santiago"
14,368000,2.0,37.0,"Lord Cochrane 173, Bulnes, Santiago"
15,500000,3.0,45.0,"Santo Domingo 673, Centro Histórico De Santiago, Santiago"
16,290000,1.0,22.0,"Gral. Bulnes 158, Barrio Yungay, Santiago"
17,290000,1.0,30.0,"Portugal 551, Santa Isabel, Santiago"
18,360000,2.0,39.0,"San Martín 870, Santiago, Chile, Centro Histórico De Santiago, Santiago"
19,470000,2.0,41.0,"Miguel León Prado 55, Bogotá - Sierra Bella, Santiago"
20,285000,1.0,31.0,"Chiloé 1951, Franklin - Biobío, Santiago"
21,300000,1.0,31.0,"Agustinas 2420, Santiago, Chile, Barrio Yungay, Santiago"
22,316000,1.0,35.0,"Santo Domingo 3251, Santiago, Chile, Barrio Yungay, Santiago"
23,400000,1.0,36.0,"Av. Almte. Blanco Encalada 2527, Barrio República, Santiago"
24,300000,1.0,37.0,"Fray Camilo Henríquez 190, Santa Isabel, Santiago"
25,290000,1.0,29.0,"Vergara 583, Ejército - Toesca, Santiago"
26,284000,1.0,25.0,"Santa Elena 2120, San Joaquín, Chile, Santiago"
27,316000,1.0,29.0,"Santo Domingo 3251, Santiago, Chile, Barrio Yungay, Santiago"
28,344000,1.0,36.0,"Carmen 368, Santiago, Chile, Santa Isabel, Santiago"
29,316000,1.0,35.0,"Santo Domingo 3251, Santiago, Chile, Barrio Yungay, Santiago"
30,347000,1.0,36.0,"Santa Elena 2120, San Joaquín, Chile, Santiago"
31,356000,2.0,51.0,"Santo Domingo 3251, Santiago, Chile, Barrio Yungay, Santiago"
32,316000,1.0,35.0,"Santo Domingo 3251, Santiago, Chile, Barrio Yungay, Santiago"
33,356000,2.0,51.0,"Santo Domingo 3251, Santiago, Chile, Barrio Yungay, Santiago"
34,428000,2.0,46.0,"Sara Del Campo 300 - 600, Santiago, Chile, Santa Isabel, Santiago"
35,464000,2.0,71.0,"Santo Domingo 3251, Santiago, Chile, Barrio Yungay, Santiago"
36,513000,2.0,68.0,"Carmen 368, Santiago, Chile, Santa Isabel, Santiago"
37,316000,1.0,35.0,"Santo Domingo 3251, Santiago, Chile, Barrio Yungay, Santiago"
38,284000,1.0,25.0,"Santa Elena 2120, San Joaquín, Chile, Santiago"
39,428000,2.0,46.0,"Sara Del Campo 300 - 600, Santiago, Chile, Santa Isabel, Santiago"
40,344000,1.0,36.0,"Carmen 368, Santiago, Chile, Santa Isabel, Santiago"
41,340000,2.0,33.0,"San Diego 1473, Parque O'higgins, Santiago"
42,464000,2.0,71.0,"Santo Domingo 3251, Santiago, Chile, Barrio Yungay, Santiago"
43,310000,1.0,34.0,"Merced 562, Centro Histórico De Santiago, Santiago"
44,391000,2.0,46.0,"Abdón Cifuentes 150, Santiago, Chile, Barrio República, Santiago"
45,310000,1.0,36.0,"Tarapacá 876, Bulnes, Santiago"
46,320000,1.0,28.0,"San Diego 255, Bulnes, Santiago"
47,350000,2.0,45.0,"Coquimbo 777, San Diego, Santiago"
48,300000,1.0,38.0,"Raulí 596, Santa Isabel, Santiago"
49,363000,1.0,37.0,"Pje. Echaurren 40, Barrio República, Santiago"
50,410000,2.0,46.0,"Merced 562, Centro Histórico De Santiago, Santiago"
51,365000,1.0,27.0,"Merced 562, Centro Histórico De Santiago, Santiago"
52,325000,1.0,32.0,"Tarapacá 876, Bulnes, Santiago"
53,500000,2.0,55.0,"Avenida Almirante Blanco Encalada 2501, Santiago, Chile, Barrio República, Santiago"
54,345000,2.0,42.0,"Coquimbo 777, San Diego, Santiago"
55,335000,1.0,39.0,"Carmen 120, Santa Isabel, Santiago"
56,305000,1.0,20.0,"Mapocho 1522, Santiago"
57,410000,2.0,41.0,"Lord Cochrane 220, Bulnes, Santiago"
58,460000,2.0,35.0,"Av. Sta. Rosa 991, San Diego, Santiago"
59,305000,1.0,26.0,"Carmen 110, Santa Isabel, Santiago"
60,390000,2.0,43.0,"Av. Manuel Rodríguez 881, Centro Histórico De Santiago, Santiago"
61,340000,1.0,28.0,"Vicuña Mackenna 625, Santa Isabel, Santiago"
62,315000,1.0,28.0,"Carmen 616, Santa Isabel, Santiago"
63,290000,1.0,31.0,"Departamento En Arriendo De 1 Dormitorio &#43; 1 Baño. Calle Agustinas N°1612. Comuna De Santiago Centro, Centro Histórico De Santiago, Santiago"
